branch_id,event_count_branch
67,2430
2,3412
16,1729
19,1694
3,1669
136,1517
5,1506
61,1362
146,1276
147,1221
36,1122
120,1098
138,1087
34,1023
74,1003
10,988
7,913
251,900
152,840
18,798
13,690
160,672
1,656
78,617
103,536
135,501
9,468
159,464
105,452
68,428
77,428
202,408
8,391
248,384
162,377
254,339
104,332
250,253
85,245
15,236
63,210
130,209
73,191
207,169
29,168
69,159
14,147
79,146
165,142
117,140
65,124
11,117
97,113
260,109
255,104
48,100
82,78
257,78
62,76
259,76
101,66
121,64
64,63
17,56
258,52
153,40
249,40
72,39
70,31
76,28
35,28
20,26
66,26
43,17
42,15
261,15
142,13
158,8
111,8
217,6
84,5
100,3
